"Script","Path","Exists","Description"
"setup_folders.py","? Not Found","? Missing","Define folder structure"
"env_loader.py","? Not Found","? Missing","Create .env and API key manager"
"logger.py","? Not Found","? Missing","Logging system scaffold"
"test_stub_*.py","? Not Found","? Missing","Test scaffolding (dummy stubs)"
"cost_guard.py","? Not Found","? Missing","Budget ceiling checker"
"docs\naming.md","? Not Found","? Missing","File naming conventions doc"
"auth_test.py","? Not Found","? Missing","Credential flow testing"
"config.py","D:\MAGIC\scripts\venv\Lib\site-packages\pandas\_config\config.py","? Found","Config loader & constants"
"config.py","D:\MAGIC\scripts\venv\Lib\site-packages\praw\config.py","? Found","Config loader & constants"
"README.md","D:\MAGIC\.pytest_cache\README.md","? Found","Project overview README"
"README.md","D:\MAGIC\docs\README.md","? Found","Project overview README"
"README.md","D:\MAGIC\scripts\README.md","? Found","Project overview README"
"README.md","D:\MAGIC\scripts\.pytest_cache\README.md","? Found","Project overview README"
"README.md","D:\MAGIC\scripts\venv\Lib\site-packages\playwright\driver\README.md","? Found","Project overview README"
"README.md","D:\MAGIC\scripts\venv\Lib\site-packages\playwright\driver\package\README.md","? Found","Project overview README"
